CUSTOMER_ID,CUSTOMER_NAME,EMAIL,AGE_GROUP,PREFECTURE,MEMBERSHIP_RANK,REGISTERED_AT
1,customer_1,customer_1@example.com,20代,京都府,レギュラー,2024-04-01
2,customer_2,customer_2@example.com,30代,福岡県,レギュラー,2024-08-26
3,customer_3,customer_3@example.com,20代,京都府,レギュラー,2024-09-28
4,customer_4,customer_4@example.com,20代,東京都,レギュラー,2025-09-19
5,customer_5,customer_5@example.com,50代以上,長野県,レギュラー,2024-09-06
6,customer_6,customer_6@example.com,30代,大阪府,レギュラー,2025-02-23
7,customer_7,customer_7@example.com,40代,神奈川県,レギュラー,2026-01-23
8,customer_8,customer_8@example.com,30代,大阪府,レギュラー,2025-01-14
9,customer_9,customer_9@example.com,30代,長野県,レギュラー,2024-02-14
10,customer_10,customer_10@example.com,30代,長野県,レギュラー,2026-02-18
11,customer_11,customer_11@example.com,30代,石川県,ゴールド,2024-12-25
12,customer_12,customer_12@example.com,30代,神奈川県,レギュラー,2025-12-01
13,customer_13,customer_13@example.com,40代,大阪府,レギュラー,2025-05-03
14,customer_14,customer_14@example.com,30代,東京都,レギュラー,2025-07-18
15,customer_15,customer_15@example.com,30代,埼玉県,レギュラー,2024-09-01
16,customer_16,customer_16@example.com,20代,大阪府,ゴールド,2025-05-17
17,customer_17,customer_17@example.com,20代,千葉県,レギュラー,2025-10-07
18,customer_18,customer_18@example.com,30代,東京都,シルバー,2025-04-13
19,customer_19,customer_19@example.com,20代,愛知県,レギュラー,2024-05-15
20,customer_20,customer_20@example.com,50代以上,東京都,レギュラー,2024-10-02
21,customer_21,customer_21@example.com,20代,北海道,シルバー,2025-11-05
22,customer_22,customer_22@example.com,20代,東京都,レギュラー,2025-12-06
23,customer_23,customer_23@example.com,30代,大阪府,レギュラー,2025-07-19
24,customer_24,customer_24@example.com,30代,三重県,レギュラー,2025-07-09
25,customer_25,customer_25@example.com,50代以上,東京都,シルバー,2024-05-03
26,customer_26,customer_26@example.com,40代,神奈川県,レギュラー,2026-03-10
27,customer_27,customer_27@example.com,40代,福岡県,ゴールド,2023-05-04
28,customer_28,customer_28@example.com,40代,兵庫県,レギュラー,2024-04-03
29,customer_29,customer_29@example.com,30代,沖縄県,レギュラー,2025-03-14
30,customer_30,customer_30@example.com,20代,千葉県,レギュラー,2023-09-26
31,customer_31,customer_31@example.com,20代,岐阜県,レギュラー,2025-06-08
32,customer_32,customer_32@example.com,20代,静岡県,レギュラー,2026-03-17
33,customer_33,customer_33@example.com,40代,宮城県,レギュラー,2024-07-08
34,customer_34,customer_34@example.com,40代,大阪府,シルバー,2024-12-11
35,customer_35,customer_35@example.com,50代以上,東京都,レギュラー,2025-09-14
36,customer_36,customer_36@example.com,20代,愛知県,レギュラー,2026-02-24
37,customer_37,customer_37@example.com,50代以上,福岡県,レギュラー,2025-12-10
38,customer_38,customer_38@example.com,20代,熊本県,シルバー,2026-01-19
39,customer_39,customer_39@example.com,20代,兵庫県,レギュラー,2025-02-07
40,customer_40,customer_40@example.com,30代,神奈川県,シルバー,2026-02-10
41,customer_41,customer_41@example.com,20代,新潟県,レギュラー,2025-02-19
42,customer_42,customer_42@example.com,20代,東京都,シルバー,2025-05-25
43,customer_43,customer_43@example.com,30代,東京都,レギュラー,2024-12-18
44,customer_44,customer_44@example.com,30代,愛知県,レギュラー,2025-11-09
45,customer_45,customer_45@example.com,30代,東京都,レギュラー,2024-09-18
46,customer_46,customer_46@example.com,20代,神奈川県,レギュラー,2024-04-07
47,customer_47,customer_47@example.com,30代,神奈川県,シルバー,2025-10-18
48,customer_48,customer_48@example.com,20代,神奈川県,シルバー,2026-03-06
49,customer_49,customer_49@example.com,50代以上,福岡県,レギュラー,2024-11-06
50,customer_50,customer_50@example.com,20代,神奈川県,シルバー,2025-08-27
51,customer_51,customer_51@example.com,20代,石川県,レギュラー,2023-07-07
52,customer_52,customer_52@example.com,30代,大阪府,シルバー,2025-06-20
53,customer_53,customer_53@example.com,20代,大阪府,シルバー,2025-10-23
54,customer_54,customer_54@example.com,40代,千葉県,レギュラー,2025-04-12
55,customer_55,customer_55@example.com,30代,愛知県,レギュラー,2024-09-21
56,customer_56,customer_56@example.com,50代以上,広島県,レギュラー,2024-10-27
57,customer_57,customer_57@example.com,40代,愛知県,シルバー,2024-04-16
58,customer_58,customer_58@example.com,30代,福岡県,レギュラー,2023-07-03
59,customer_59,customer_59@example.com,40代,埼玉県,シルバー,2023-07-13
60,customer_60,customer_60@example.com,30代,香川県,レギュラー,2024-11-09
61,customer_61,customer_61@example.com,20代,京都府,レギュラー,2024-11-09
62,customer_62,customer_62@example.com,50代以上,大阪府,レギュラー,2025-03-18
63,customer_63,customer_63@example.com,40代,長野県,レギュラー,2026-01-10
64,customer_64,customer_64@example.com,20代,東京都,レギュラー,2025-01-21
65,customer_65,customer_65@example.com,20代,千葉県,レギュラー,2025-01-08
66,customer_66,customer_66@example.com,50代以上,兵庫県,シルバー,2025-07-21
67,customer_67,customer_67@example.com,20代,東京都,レギュラー,2024-08-02
68,customer_68,customer_68@example.com,40代,静岡県,シルバー,2025-07-14
69,customer_69,customer_69@example.com,20代,大阪府,シルバー,2024-08-15
70,customer_70,customer_70@example.com,30代,東京都,レギュラー,2024-09-20
71,customer_71,customer_71@example.com,50代以上,福岡県,レギュラー,2023-06-16
72,customer_72,customer_72@example.com,30代,愛媛県,レギュラー,2024-09-22
73,customer_73,customer_73@example.com,30代,神奈川県,シルバー,2023-05-11
74,customer_74,customer_74@example.com,30代,神奈川県,レギュラー,2024-11-21
75,customer_75,customer_75@example.com,20代,岐阜県,レギュラー,2024-02-20
76,customer_76,customer_76@example.com,30代,富山県,ゴールド,2024-05-21
77,customer_77,customer_77@example.com,30代,愛知県,レギュラー,2023-07-20
78,customer_78,customer_78@example.com,40代,神奈川県,シルバー,2024-04-10
79,customer_79,customer_79@example.com,30代,神奈川県,シルバー,2024-09-28
80,customer_80,customer_80@example.com,20代,東京都,シルバー,2025-10-13
81,customer_81,customer_81@example.com,20代,神奈川県,レギュラー,2025-05-17
